,Negative_newTests,Positive_newTests
2020-01-24,1,0
2020-01-27,1,0
2020-01-28,8,0
2020-01-30,3,0
2020-02-03,7,0
2020-02-05,1,0
2020-02-06,3,0
2020-02-07,1,0
2020-02-10,5,0
2020-02-11,12,0
2020-02-13,9,0
2020-02-14,28,0
2020-02-15,6,0
2020-02-16,4,0
2020-02-17,7,0
2020-02-18,6,0
2020-02-19,8,0
2020-02-20,6,0
2020-02-22,9,0
2020-02-23,1,0
2020-02-24,3,0
2020-02-25,12,0
2020-02-26,16,0
2020-02-27,15,0
2020-02-28,15,0
2020-02-29,30,0
2020-03-01,27,0
2020-03-02,26,0
2020-03-03,27,0
2020-03-04,71,0
2020-03-05,55,0
2020-03-06,61,1
2020-03-07,274,2
2020-03-08,440,3
2020-03-09,718,6
2020-03-10,966,6
2020-03-11,961,6
2020-03-12,1144,2
2020-03-13,1419,8
2020-03-14,1589,19
2020-03-15,1784,9
2020-03-16,1306,20
2020-03-17,2137,8
2020-03-18,2860,27
2020-03-19,2774,31
2020-03-20,3391,31
2020-03-21,3538,27
2020-03-22,2613,29
2020-03-23,2710,36
2020-03-24,3131,50
2020-03-25,1831,51
2020-03-26,1117,31
2020-03-27,3591,68
2020-03-28,2122,36
2020-03-29,1876,18
2020-03-30,748,8
